goos: darwin
goarch: arm64
pkg: pkg.gostartkit.com/web
cpu: Apple M2
BenchmarkDoReqWithClientStruct-8                          	 2612914	       465.3 ns/op	     688 B/op	      12 allocs/op
BenchmarkDoReqWithClientStruct-8                          	 2567592	       461.2 ns/op	     688 B/op	      12 allocs/op
BenchmarkDoReqWithClientStruct-8                          	 2640717	       460.0 ns/op	     688 B/op	      12 allocs/op
BenchmarkDoReqWithClientStruct-8                          	 2581202	       457.0 ns/op	     688 B/op	      12 allocs/op
BenchmarkDoReqWithClientStruct-8                          	 2562063	       458.9 ns/op	     688 B/op	      12 allocs/op
BenchmarkDoReqWithClientRawBody-8                         	 5062537	       231.6 ns/op	     472 B/op	       8 allocs/op
BenchmarkDoReqWithClientRawBody-8                         	 5300172	       225.7 ns/op	     472 B/op	       8 allocs/op
BenchmarkDoReqWithClientRawBody-8                         	 5211994	       225.5 ns/op	     472 B/op	       8 allocs/op
BenchmarkDoReqWithClientRawBody-8                         	 5230306	       230.1 ns/op	     472 B/op	       8 allocs/op
BenchmarkDoReqWithClientRawBody-8                         	 5278195	       224.6 ns/op	     472 B/op	       8 allocs/op
BenchmarkServeHTTPBinary-8                                	10310720	       113.2 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPBinary-8                                	10498201	       113.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPBinary-8                                	10689537	       112.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPBinary-8                                	10368435	       112.2 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPBinary-8                                	10467120	       114.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPAvro-8                                  	10494888	       113.9 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPAvro-8                                  	10580894	       112.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPAvro-8                                  	10263537	       113.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPAvro-8                                  	10470488	       112.5 ns/op	      40 B/op	       2 allocs/op
BenchmarkServeHTTPAvro-8                                  	10593141	       113.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkCtxWriteBinaryReader-8                           	37139292	        31.80 ns/op	      48 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryReader-8                           	36661837	        31.77 ns/op	      48 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryReader-8                           	37934168	        32.13 ns/op	      48 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryReader-8                           	36822992	        32.18 ns/op	      48 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryReader-8                           	37585350	        32.22 ns/op	      48 B/op	       1 allocs/op
BenchmarkCtxWriteJSONRawMessage-8                         	65314858	        18.20 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteJSONRawMessage-8                         	62257212	        18.40 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteJSONRawMessage-8                         	66010383	        18.23 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteJSONRawMessage-8                         	65693580	        18.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteJSONRawMessage-8                         	66030208	        18.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryBytes-8                            	65536614	        18.33 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryBytes-8                            	64298774	        18.13 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryBytes-8                            	66497344	        18.22 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryBytes-8                            	65324636	        18.20 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryBytes-8                            	66118285	        18.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryString-8                           	61045659	        20.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryString-8                           	59326521	        19.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryString-8                           	61262518	        19.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryString-8                           	61662709	        19.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtxWriteBinaryString-8                           	60632346	        20.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkCtxWriteAvroMarshaler-8                          	57466102	        19.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteAvroMarshaler-8                          	61603881	        19.28 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteAvroMarshaler-8                          	62706434	        19.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteAvroMarshaler-8                          	60111957	        19.58 ns/op	      24 B/op	       1 allocs/op
BenchmarkCtxWriteAvroMarshaler-8                          	61923098	        19.25 ns/op	      24 B/op	       1 allocs/op
BenchmarkTreeGetValueStatic-8                             	448893618	         2.728 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStatic-8                             	439747694	         2.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStatic-8                             	447028516	         2.677 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStatic-8                             	447823089	         2.725 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueStatic-8                             	448649214	         2.671 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParam-8                              	19220142	        59.59 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueParam-8                              	20006181	        61.99 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueParam-8                              	19964644	        60.49 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueParam-8                              	19727296	        60.13 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueParam-8                              	19176540	        61.19 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueCatchAll-8                           	19498191	        59.96 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueCatchAll-8                           	19932836	        60.33 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueCatchAll-8                           	18783861	        62.71 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueCatchAll-8                           	19266198	        60.56 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueCatchAll-8                           	18131292	        63.11 ns/op	      56 B/op	       2 allocs/op
BenchmarkTreeGetValueParamPooled-8                        	82286420	        14.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamPooled-8                        	80509441	        14.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueParamPooled-8                        	81920583	        14.57 ns/op	       0 B/op	       0 allocs/op
